1 Aarav 21 172 68
2 Vivaan 19 178 72
3 Aditya 22 175 70
4 Rohan 20 169 64
5 Karan 23 181 79
6 Neha 21 160 54
7 Ananya 20 165 56
8 Priya 22 163 58
9 Isha 19 167 52
10 Meera 24 170 61
11 Arjun 23 182 81
12 Rahul 21 176 73
13 Siddharth 22 180 77
14 Yash 20 174 69
15 Manav 19 171 66
16 Kavya 21 162 55
17 Diya 22 168 59
18 Sneha 20 164 57
19 Pooja 23 159 53
20 Riya 24 166 60
21 Harsh 22 177 75
22 Nikhil 21 183 84
23 Varun 20 179 78
24 Aman 19 173 67
25 Dev 23 185 86
26 Tanya 22 161 54
27 Simran 21 169 58
28 Muskan 20 165 56
29 Aisha 19 163 51
30 Zoya 24 168 62
